ID,Contract,LocationID,BranchCode,Status,created_date,stopdate
0,SGDN00215,8,1,0,48:13.9,02:10.0
27,SGDN00017,0,0,2,43:07.8,26:20.4
28,SGH068462,0,0,2,18:59.2,35:15.0
29,SGH068462,0,0,2,35:19.3,16:51.5
30,SGH068462,0,0,2,07:38.2,32:20.2
31,SGH068462,0,0,2,14:12.3,33:12.2
32,SGH068462,0,0,2,50:40.7,57:22.2
33,SGH068462,0,0,2,52:06.7,22:13.6
34,SGH068460,0,0,2,25:29.2,26:02.6
35,SGH068462,0,0,2,07:40.0,42:39.9
36,HNAAH9986,4,6,2,49:13.0,50:10.3
37,SGB000139,0,0,3,10:19.2,37:04.7
38,SGDN00013,0,0,3,14:55.1,37:22.6
39,SGDN00013,0,0,3,12/6/2017 9:38,47:56.3
40,SGH068461,0,0,3,33:44.7,51:23.8
41,SGH068486,0,0,3,32:45.2,37:23.3
42,SGB000139,0,0,3,05:11.9,04:17.4
43,SGDN00013,0,0,3,15:00.7,18:27.7
44,SGH068461,0,0,3,50:47.6,43:39.3
45,SGDN00013,0,0,3,23:16.2,30:08.4
46,SGH068461,0,0,3,52:28.3,04:25.9
47,SGH068461,0,0,3,32:22.0,03:21.5
48,SGH068461,0,0,3,36:51.8,20:57.2
49,SGDN00013,0,0,3,38:01.6,22:38.1
50,SGH068461,0,0,3,44:56.3,43:22.4
51,SGDN00013,0,0,3,25:24.6,53:16.8
52,SGDN00013,8,0,3,17:26.0,02:42.1
53,SGD119807,8,3,0,55:20.1,
54,BDD006933,65,0,0,23:51.1,
55,BDD006865,65,0,0,44:47.7,
56,SGD167922,8,6,0,12:16.2,
57,SGD186201,8,5,0,32:20.9,
58,HPD005291,31,0,0,38:37.6,
59,SGD238513,8,3,0,38:04.7,
60,BDD006933,65,0,0,53:41.2,
61,BDD006933,65,0,0,55:29.1,
62,SGD176273,8,3,0,57:39.9,
63,SGD172612,8,3,0,02:19.3,
64,SGD232925,8,4,0,59:09.7,
65,DND000802,61,0,0,27:02.5,
66,HDD000321,320,0,0,3/1/2009 22:14,
67,SGD176273,8,3,0,15:20.4,
68,SGD176273,8,3,0,19:25.9,
69,SGD176273,8,3,0,26:04.6,
70,HND194054,4,1,0,54:36.5,
71,HND136521,4,3,0,13:05.0,
72,BDD005858,65,0,0,39:40.4,
73,SGD211120,8,4,0,23:42.2,
74,BDD006933,65,0,0,46:27.9,
75,HND150130,4,8,0,37:32.9,
76,SGD242786,8,4,0,45:53.6,
77,HPFD00093,31,0,0,06:46.7,
78,HPFD00093,31,0,0,21:13.5,
79,HPFD00093,31,0,0,22:32.7,
80,HPFD00093,31,0,0,25:53.1,
81,HPFD00096,31,0,0,48:47.3,
82,HPFD00094,31,0,0,34:39.7,
83,HPFD00095,31,0,0,13:35.6,
84,HPFD00100,31,0,0,30:46.2,
85,HPFD00099,31,0,0,39:29.4,
86,HPFD00095,31,0,0,50:36.7,
87,SGD201601,8,4,0,33:32.9,
88,SGD171441,8,2,0,38:30.4,
89,BDD007444,65,0,0,28:32.8,
90,SGD140633,8,5,0,17:14.1,
91,HND153516,4,5,0,42:36.9,
92,SGD244124,8,3,0,01:28.3,
93,SGD179947,8,4,0,34:45.7,
94,SGD218243,8,6,0,24:37.7,
95,SGD120496,8,4,0,31:17.5,
96,SGD245306,8,8,0,04:56.0,
97,SGD220354,8,4,0,41:06.7,
98,SGD142974,8,6,0,38:28.9,
99,SGD164087,8,4,0,35:26.6,
100,SGD241312,8,3,0,22:37.7,
101,SGD111627,8,5,0,43:43.0,
102,SGD096951,8,5,0,02:09.5,
103,SGD244606,8,8,0,02:00.7,
104,SGD098654,8,5,0,26:50.4,
105,SGD245312,8,1,0,48:35.5,
106,CTD000043,71,0,0,19:15.1,
107,BDD005979,65,0,0,57:03.9,
108,BDD001919,65,0,0,52:04.9,
109,SGD133201,8,2,0,00:32.8,
110,HND125609,4,11,0,53:21.9,
111,HND142378,4,3,0,12:31.9,
112,SGD218844,8,9,0,38:07.4,
113,SGD164993,8,4,0,44:16.3,
114,HND110779,4,7,0,08:10.3,
115,HPFD00057,31,0,0,38:25.2,
116,SGD129011,8,5,0,47:27.3,
117,SGD093556,8,6,0,47:45.3,
118,SGFD03582,8,4,0,57:41.4,
119,DND007560,61,0,0,19:16.2,
120,SGD133155,8,4,0,45:00.2,
121,HND117563,4,5,0,23:39.7,
122,SGD240620,8,6,0,32:32.0,
123,BDD007699,65,0,0,24:25.5,
124,SGD128405,8,2,0,21:00.2,
125,DND007560,61,0,0,32:52.6,
126,SGD092022,8,6,0,39:07.6,
127,SGD244980,8,6,0,52:27.9,
128,SGD242733,8,5,0,17:36.2,
129,SGD245525,8,6,0,04:30.8,
130,SGD159715,8,11,0,34:48.9,
131,SGD123495,8,6,0,45:42.8,
132,SGD232221,8,6,0,54:24.6,
133,SGD105739,8,4,0,42:47.8,
134,SGD244631,8,6,0,44:36.3,
135,SGD178261,8,5,0,08:03.8,
136,SGD245950,8,6,0,46:15.1,
137,SGD188853,8,6,0,20:50.4,
138,SGD089988,8,4,0,23:05.5,
139,SGD167006,8,6,0,04:28.6,
140,SGD204836,8,4,0,08:00.4,
141,SGD116938,8,4,0,01:59.2,
142,SGD131589,8,5,0,17:01.1,
143,HND170124,4,4,0,40:10.1,
144,SGD054099,8,4,0,52:20.0,
145,SGD105739,8,4,0,31:37.1,
146,SGD212961,8,6,0,59:00.2,
147,SGD245913,8,6,0,03:44.1,
148,SGD247060,8,11,0,39:44.6,
149,SGD226099,8,6,0,01:18.6,
150,SGD087838,8,3,0,48:03.3,
151,SGD235980,8,6,0,04:18.9,
152,SGD223997,8,6,0,30:01.5,
153,SGD245934,8,6,0,37:37.1,
154,SGD232441,8,6,0,38:16.9,
155,SGD247249,8,6,0,53:33.7,
156,SGD177578,8,4,0,48:01.6,
157,SGD236887,8,3,0,43:50.6,
158,SGD109999,8,3,0,11:08.2,
159,SGD141216,8,6,0,27:13.1,
160,SGD220696,8,5,0,39:33.9,
161,SGD175680,8,11,0,09:55.6,
162,SGD245683,8,2,0,11:29.6,
163,SGD221983,8,6,0,15:46.2,
164,SGD244056,8,3,0,30:55.8,
165,SGD248010,8,6,0,21:16.1,
166,SGD101733,8,5,0,19:24.8,
167,SGD247304,8,6,0,23:48.6,
168,SGD091877,8,6,0,17:16.7,
169,SGD246933,8,11,0,26:18.1,
170,SGD248322,8,2,0,28:43.7,
171,SGD128191,8,6,0,01:21.7,
172,SGD196092,8,6,0,07:09.7,
173,SGD109491,8,6,0,00:17.1,
174,SGD078997,8,3,0,14:17.8,
175,SGD057267,8,3,0,35:48.5,
176,SGD115456,8,6,0,02:42.1,
177,SGD220229,8,3,0,09:13.4,
178,SGD247052,8,2,0,06:00.6,
179,SGD156550,8,2,0,15:24.3,59:56.0
180,SGD178257,8,8,0,23:48.5,
181,SGD166868,8,8,0,39:19.0,
182,SGD231841,8,3,0,50:14.4,
183,SGD086815,8,6,0,54:36.2,
184,SGD231841,8,3,0,33:18.0,
185,SGD247302,8,2,0,36:16.7,
186,SGD141086,8,6,0,27:02.6,
187,SGD232598,8,6,0,38:14.8,
188,SGD217326,8,6,0,12:10.8,
189,SGD229121,8,3,0,34:10.4,
190,SGD221839,8,6,0,44:39.9,
191,SGD179030,8,6,0,20:13.9,
192,SGD048217,8,6,0,42:45.6,
193,SGD182170,8,4,0,01:59.6,
194,SGD019297,8,2,0,48:48.3,
195,SGD041735,8,4,0,17:09.3,
196,SGD249278,8,6,0,13:51.8,
197,HDD001691,320,0,0,24:02.3,
198,SGD161782,8,2,0,44:28.8,
199,SGD172602,8,6,0,18:25.7,
200,SGD016504,8,5,0,16:21.9,
201,SGD164723,8,6,0,24:23.5,
202,SGD008156,8,4,0,56:05.4,
203,SGD173412,8,3,0,33:26.8,
204,SGD248972,8,3,0,35:19.2,
205,SGD162087,8,6,0,02:17.1,
206,SGD035432,8,2,0,00:13.8,
207,SGD221839,8,6,0,59:06.8,
208,SGD112862,8,6,0,29:28.7,
209,SGD043486,8,4,0,55:05.2,
210,SGD175569,8,6,0,50:58.9,
211,SGD204450,8,2,0,55:36.1,
212,SGD043486,8,4,0,56:31.4,
213,CTD000655,71,0,0,30:21.0,
214,SGD052459,8,2,0,29:31.3,
215,SGD174731,8,3,0,08:17.2,
216,SGD247301,8,11,0,10:34.5,
217,SGD106566,8,6,0,49:35.4,
218,SGD242787,8,5,0,50:05.6,
219,SGD142560,8,6,0,22:27.5,
220,SGD246459,8,3,0,53:18.3,
221,SGD246501,8,3,0,05:47.1,
222,SGD234690,8,3,0,10:24.0,
223,SGD156997,8,3,0,12:53.1,
224,SGFD00432,8,3,0,12:05.4,
225,SGD248233,8,3,0,16:40.3,
226,SGD076317,8,3,0,56:45.9,
227,BDD004529,65,0,0,54:11.5,
228,BDD004529,65,0,0,55:12.9,
